20 0.00194761 7.65143e-06
40 0.00197885 1.47697e-05
60 0.00201635 2.26783e-05
80 0.00206342 2.89414e-05
100 0.00211205 3.57769e-05
120 0.00218431 5.28255e-05
140 0.00309694 0.000456862
160 0.00280207 0.000214022
180 0.00278484 0.000191837
200 0.00278287 0.000186691
220 0.00281974 0.000195716
240 0.00287756 0.000197621
260 0.00296301 0.000214589
280 0.0030549 0.000247231
300 0.00316011 0.000265949
320 0.00328298 0.000296344
340 0.00342336 0.000329591
360 0.00355581 0.000352316
380 0.00396051 0.000462048
400 0.00478899 0.000939945
420 0.00490644 0.000940636
440 0.00499741 0.000949852
460 0.00510335 0.000979554
480 0.00520557 0.00101035
500 0.00535463 0.00109662
